Date,Close,High,Low,Open,Volume,RSI,MACD,Bollinger_Upper,Bollinger_Lower
2024-04-20,64994.44140625,65442.45703125,63172.40234375,63851.1015625,23097485495,44.75046375227703,-1576.912831316782,72455.04552679964,61022.509160700356
2024-04-21,64926.64453125,65723.2421875,64277.72265625,64992.81640625,20506644853,44.58147555114034,-1483.4680179500501,72098.94124286716,60901.06305400784
2024-04-22,66837.6796875,67233.9609375,64548.1796875,64935.6328125,28282686673,50.2808385884009,-1240.9034022159904,72148.94690642101,60990.12809357899
2024-04-23,66407.2734375,67199.2421875,65864.8671875,66839.890625,24310975583,49.057157303704884,-1071.0529522566503,72164.36367643526,61017.35741731475
2024-04-24,64276.8984375,67075.3671875,63589.87109375,66408.71875,30276655120,43.423931985193654,-1095.7179506958419,71966.74891784618,60791.7776446538
2024-04-25,64481.70703125,65275.20703125,62783.6328125,64275.01953125,32155786816,44.088641038752236,-1086.2175579408358,71815.22818511887,60607.70501800611
2024-04-26,63755.3203125,64789.65625,63322.3984375,64485.37109375,24139372950,42.19513949886613,-1124.3410618884518,71513.46810151136,60395.38619536365
2024-04-27,63419.140625,63898.36328125,62424.71875,63750.98828125,19530783039,41.31085623778884,-1168.2146533073683,71089.76631621475,60224.74657441023
2024-04-28,63113.23046875,64321.484375,62793.59765625,63423.515625,17334827993,40.479529885708125,-1213.678651603579,70021.2363000911,60441.4636999089
2024-04-29,63841.12109375,64174.87890625,61795.45703125,63106.36328125,26635912073,43.39826068529657,-1177.4021485410267,69438.0222312445,60494.88831563052
2024-04-30,60636.85546875,64703.33203125,59120.06640625,63839.41796875,37840840057,35.2123077194686,-1391.1736316283059,68522.75133610656,60415.056476393445
2024-05-01,58254.01171875,60780.5,56555.29296875,60609.49609375,48439780271,30.591208505336112,-1732.888982974422,67941.97954996189,59815.16849691311
2024-05-02,59123.43359375,59602.296875,56937.203125,58253.703125,32711813559,33.99488352420481,-1911.5110718299402,67738.87166119451,59211.033026305486
2024-05-03,62889.8359375,63320.50390625,58848.3125,59122.30078125,33172023048,46.28394106713206,-1729.2198026645492,67696.48314131888,59160.25787430611
2024-05-04,63891.47265625,64494.95703125,62599.3515625,62891.03125,20620477992,49.003209192025636,-1486.7901549262533,67478.2301245502,59193.7855004498
2024-05-05,64031.1328125,64610.890625,62955.3046875,63892.453125,18296164805,49.38793288746533,-1268.7679380523623,67519.48864679513,59213.01916570486
2024-05-06,63161.94921875,65494.90234375,62746.23828125,64038.3125,28697928697,47.0109357202206,-1152.8304999682368,67482.70619812734,59184.81020812265
2024-05-07,62334.81640625,64390.45703125,62285.98046875,63162.76171875,25930730982,44.80117314466349,-1114.8407600166465,67455.55193761329,59317.77696863671
2024-05-08,61187.94140625,62986.0859375,60877.12890625,62332.640625,26088172222,41.86284068359333,-1163.8605847267463,67449.59775692454,59091.249899325456
2024-05-09,63049.9609375,63404.9140625,60648.07421875,61191.19921875,25453338161,47.84379345052942,-1040.4658912263767,67402.4597887929,59059.02692995711
2024-05-10,60792.77734375,63446.7421875,60208.78125,63055.19140625,27804954694,42.179044833715345,-1111.9922056067007,67238.86921426177,58802.451098238234
2024-05-11,60793.7109375,61451.15234375,60492.625,60793.35546875,13842272968,42.182094084381575,-1155.2845902424888,67043.408413574,58584.618539551004
2024-05-12,61448.39453125,61818.15625,60632.6015625,60793.50390625,13800459405,44.396553781071134,-1123.812016991411,66382.82261360034,58706.275823899654
2024-05-13,62901.44921875,63422.66015625,60769.83984375,61451.21875,27889181179,49.0599269665944,-970.4338490084701,65782.58226183009,58955.933753794925
2024-05-14,61552.7890625,63092.125,61123.765625,62900.7734375,28186271527,45.26529978263181,-946.792119047379,65546.97478470004,58919.13029342496
2024-05-15,66267.4921875,66454.453125,61330.41015625,61553.98828125,39815167074,57.60915451966438,-541.3780685758975,65954.7296635845,58689.9539301655
2024-05-16,65231.58203125,66712.4296875,64613.0546875,66256.109375,31573077994,54.69069340469766,-300.21313473270857,66198.0620871783,58594.24767844669
2024-05-17,67051.875,67459.4609375,65119.31640625,65231.296875,28031279310,58.65435080514239,37.36353897330264,66872.94896729296,58282.63423583204
2024-05-18,66940.8046875,67387.328125,66663.5,67066.2109375,16712277406,58.31910685975594,292.5605827432664,67465.09527292065,58073.24535207936
2024-05-19,66278.3671875,67694.296875,65937.1796875,66937.9296875,19249094538,56.25398537104588,436.32324572266225,67812.96175063752,57969.103483737475
2024-05-20,71448.1953125,71483.5625,66086.171875,66278.7421875,43850655717,66.28729510262428,956.3934076498481,69488.43702324336,57374.76219550664
2024-05-21,70136.53125,71946.4609375,69191.125,71443.0625,46932005990,62.37825483726072,1248.3225448275698,70262.95855753569,57788.4926143393
2024-05-22,69122.3359375,70623.6953125,68977.6953125,70135.3203125,32802561717,59.45855721934116,1381.911586977316,70713.7147172696,58337.626688980396
2024-05-23,67929.5625,70041.2734375,66356.953125,69121.3046875,41895680979,56.130978691234596,1375.6770684396251,71087.96645944956,58467.34760305043
2024-05-24,68526.1015625,69220.296875,66622.671875,67928.1328125,29197308153,57.41460967242487,1402.7024042754638,71510.02767283471,58508.749280290285
2024-05-25,69265.9453125,69579.3203125,68515.8203125,68526.921875,15473071741,59.01630234655068,1466.909762502677,72010.30826015951,58531.9499429655
2024-05-26,68518.09375,69506.2265625,68183.890625,69264.2890625,15628433737,56.69504269232726,1440.840077922825,72346.90818612355,58730.96447012645
2024-05-27,69394.5546875,70597.8828125,68232.5,68512.1796875,25870990717,58.74313620505638,1473.9123932471848,72730.78012511622,59053.066359258795
2024-05-28,68296.21875,69514.640625,67227.15625,69392.1953125,32722265965,55.21873048714313,1395.410486954337,72804.41921595535,59690.255002794656
2024-05-29,67578.09375,68852.4609375,67101.4921875,68296.3515625,26707072906,52.98055167712186,1260.7177058194357,72884.65832244427,60062.82917755571
2024-05-30,68364.9921875,69500.5390625,67118.078125,67576.0859375,29509712534,55.12688845472093,1203.5945451773296,72750.41599978984,60954.29298458516
2024-05-31,67491.4140625,68999.5625,66633.421875,68362.515625,27387283769,52.27406832607162,1075.4366111109994,72390.9675773635,61983.511719511516
2024-06-01,67706.9375,67839.765625,67386.1953125,67489.609375,11641495604,52.921377989779764,979.9650382828404,71989.514107224,63010.819486526
2024-06-02,67751.6015625,68409.1640625,67315.5234375,67710.2734375,17110588415,53.063452842394675,897.5606253743463,71705.24967656082,63780.099151564165
2024-06-03,68804.78125,70230.8203125,67589.8359375,67753.8984375,32401285324,56.40436755584517,906.7844863392093,70887.13794124142,65323.410105633564
2024-06-04,70567.765625,71047.40625,68564.640625,68804.5703125,33149696545,61.36225532716258,1044.3143618947215,71164.7784938667,65475.79689675829
2024-06-05,71082.8203125,71735.4140625,70390.7109375,70568.3515625,32810771409,62.69696687914144,1181.2516541459627,71327.08150167574,65898.61771707426
2024-06-06,70757.1640625,71625.734375,70119.125,71082.84375,25223152007,61.256126279637876,1249.09887281408,71566.15518274534,66030.07294225466
2024-06-07,69342.5859375,71907.8515625,68507.2578125,70759.1875,36188381096,55.31010952964126,1175.176941596059,71558.98642040331,66277.41982959669
2024-06-08,69305.7734375,69533.3203125,69210.7421875,69324.1796875,14262185861,55.16005319537217,1100.931959113601,71418.69666144946,66720.45021355055
2024-06-09,69647.9921875,69817.5234375,69160.84375,69297.4921875,13534028500,56.34573901731095,1057.5160815662384,71082.25628157379,66876.8702809262
2024-06-10,69512.28125,70146.0703125,69232.421875,69644.3125,20597699541,55.716545193720094,1000.6233838403277,70999.31730552309,66897.38425697692
2024-06-11,67332.03125,69549.4140625,66123.6015625,69508.078125,37116136345,46.69519237248331,770.7231405070343,71024.67380802215,66692.99728572783
2024-06-12,68241.1875,69977.890625,66902.453125,67321.375,34497940694,50.30835709520498,654.3439824481029,71017.65556445894,66731.17802929106
2024-06-13,66756.3984375,68365.78125,66304.5625,68243.1015625,28955204146,44.949665538617154,437.2621073882765,71117.25949766244,66454.60378358756
